pklt_nm,pklt_knd_nm,lat,lot,addr,자치구,평일운영시간,주말운영시간,운영시간,ev_충전소_500m,ev_등록대수
건영백화점앞,노외 주차장,37.64802,127.07678,노원구 중계동 507-0,노원구,10.0,8.0,9.428571428571429,225,3918
견인보관소,노외 주차장,37.58773,127.06526,동대문구 휘경동 361-0,동대문구,24.0,24.0,24.0,91,3021
견인보관소 노외,노외 주차장,37.4753253,126.8863954,금천구 가산동 614-34,금천구,24.0,24.0,24.0,416,2257
경남 공영주차장,노상 주차장,37.5550711,126.9238244,마포구 서교동 376-5,마포구,10.0,10.0,10.0,55,4083
경도상가앞 노상주차장,노상 주차장,37.5267088,126.9238,영등포구 여의도동 44-0,영등포구,10.0,6.0,8.857142857142858,262,4323
경동고,노외 주차장,37.58635,127.01311,성북구 삼선동3가 43-1,성북구,24.0,24.0,24.0,198,3533
경동고 공영주차장,노외 주차장,37.58635,127.01311,성북구 삼선동3가 43-1,성북구,24.0,24.0,24.0,198,3533
경창시장 고객주차장,노외 주차장,37.52782,126.83692,양천구 신월동 446-3,양천구,24.0,24.0,24.0,81,3941
경호빌딩앞 노상주차장,노상 주차장,37.5267088,126.9238,영등포구 여의도동 25-0,영등포구,10.0,6.0,8.857142857142858,262,4323
고분다리 전통시장 공영주차장,노외 주차장,37.54294,127.12733,강동구 천호동 280-9,강동구,24.0,24.0,24.0,97,5653
고분다리전통시장 주차장,노외 주차장,37.54294,127.12733,강동구 천호동 280-9,강동구,24.0,24.0,24.0,97,5653
고척1동마을공동주차장,노외 주차장,37.5032363,126.8588409,구로구 고척동 52-54,구로구,24.0,24.0,24.0,214,3621
고척근린공원지하주차장,노외 주차장,37.5032363,126.8588409,구로구 고척동 9-14,구로구,24.0,24.0,24.0,214,3621
고척리본타운,노외 주차장,37.5032363,126.8588409,구로구 고척동 156-0,구로구,24.0,24.0,24.0,214,3621
고척리본타운주차장,노외 주차장,37.5032363,126.8588409,구로구 고척동 156,구로구,24.0,24.0,24.0,214,3621
곰달래 문화복지센터 공영주차장,노외 주차장,37.54208,126.84656,강서구 화곡동 890-0,강서구,24.0,24.0,24.0,13,8009
곰달래로5길 노상,노상 주차장,37.52782,126.83692,양천구 신월동 126-36,양천구,10.0,4.0,8.285714285714286,81,3941
곰달래주차장,노외 주차장,37.52782,126.83692,양천구 신월동 226-9,양천구,24.0,24.0,24.0,81,3941
공덕1-1 공영주차장,노외 주차장,37.549927,126.9592897,마포구 공덕동 11-243,마포구,24.0,24.0,24.0,126,4083
공항2임시,노외 주차장,37.5556799,126.7931257,강서구 공항동 703-0,강서구,24.0,24.0,24.0,0,8009
공항동(송정역),노외 주차장,37.5556799,126.7931257,강서구 공항동 42-8,강서구,24.0,24.0,24.0,0,8009
관악신사시장 공영주차장,노외 주차장,37.4868971,126.928177,관악구 신림동 494-37,관악구,10.0,10.0,10.0,16,3005
관악초 공영주차장,노외 주차장,37.484665,126.9484961,관악구 봉천동 920-0,관악구,24.0,24.0,24.0,211,3005
관철동 공영주차장,노상 주차장,37.56843983,126.98628105,종로구 관철동 13-14,종로구,13.0,5.0,10.714285714285714,221,1896
광장공영주차장,노외 주차장,37.53608,126.87585,양천구 목동 907-19,양천구,10.0,10.0,10.0,96,3941
광장주차장,노외 주차장,37.53608,126.87585,양천구 목동 907-19,양천구,10.0,10.0,10.0,96,3941
광진광장 공영주차장,노외 주차장,37.5532345,127.071936,광진구 군자동 374-9,광진구,24.0,24.0,24.0,83,2445
광화문빌딩,노상 주차장,37.5716796,126.9739063,종로구 당주동 40-9,종로구,12.0,8.0,10.857142857142858,287,1896
교남 공영주차장,노외 주차장,37.57425,126.96215,종로구 행촌동 1-53,종로구,24.0,24.0,24.0,198,1896
교대역동측주차장,노외 주차장,37.48818,127.01751,서초구 서초동 1673-7,서초구,14.0,14.0,14.0,123,8665
교보생명옆 노상주차장,노상 주차장,37.5224036,126.89391,영등포구 당산동2가 21-26,영등포구,10.0,6.0,8.857142857142858,236,4323
교육청길 공영주차장,노상 주차장,37.628995,127.0257543,강북구 미아동 137-19,강북구,10.0,6.0,8.857142857142858,38,1856
교통공원길,노상 주차장,37.5184928,127.1030779,송파구 신천동 10-2,송파구,12.0,12.0,12.0,257,7851
교통공원길(B) 노상공영주차장,노상 주차장,37.5184928,127.1030779,송파구 신천동 7-21,송파구,12.0,12.0,12.0,257,7851
교통공원길(C) 노상공영주차장,노상 주차장,37.5184928,127.1030779,송파구 신천동 7-21,송파구,12.0,12.0,12.0,257,7851
교통광장 공영주차장,노외 주차장,37.6575291,127.0089505,강북구 우이동 265-0,강북구,24.0,24.0,24.0,14,1856
구로2동 소공원 공영주차장,노외 주차장,37.4945849,126.8845477,구로구 구로동 454-1,구로구,24.0,24.0,24.0,63,3621
구로3동 마을공동주차장,노외 주차장,37.4945849,126.8845477,구로구 구로동 797-1,구로구,8.0,24.0,12.571428571428571,63,3621
구로3동마을주차장,노외 주차장,37.4945849,126.8845477,구로구 구로동 797-1,구로구,8.0,24.0,12.571428571428571,63,3621
구로4동 마을공동 주차장,노외 주차장,37.4945849,126.8845477,구로구 구로동 741-27,구로구,24.0,24.0,24.0,63,3621
구로5동마을공동주차장,노외 주차장,37.4945849,126.8845477,구로구 구로동 549-73,구로구,24.0,24.0,24.0,63,3621
구로구 개봉동 60-95,노외 주차장,37.4931629,126.851736,구로구 개봉동 60-95,구로구,24.0,24.0,24.0,166,3621
구로리공원지하주차장,노외 주차장,37.4945849,126.8845477,구로구 구로동 139-82,구로구,24.0,24.0,24.0,63,3621
구로미래도서관 공영주차장,노외 주차장,37.4945849,126.8845477,구로구 구로동 1-4,구로구,24.0,24.0,24.0,63,3621
구로아트밸리 지하주차장,노외 주차장,37.4945849,126.8845477,구로구 구로동 102-0,구로구,24.0,24.0,24.0,63,3621
구룡 공영주차장,노외 주차장,37.468399,126.8979571,금천구 독산동 964-0,금천구,11.0,11.0,11.0,120,2257
구룡공영주차빌딩,노외 주차장,37.46838,127.0361,서초구 양재동 301-6,서초구,24.0,24.0,24.0,98,8665
구룡공원 공영주차장,노외 주차장,37.46838,127.0361,서초구 양재동 399-0,서초구,24.0,24.0,24.0,98,8665
구룡산제1호,노외 주차장,37.48421,127.07006,강남구 개포동 567-23,강남구,10.0,0.0,7.142857142857143,242,15468
구룡산제2호,노외 주차장,37.48421,127.07006,강남구 개포동 126-2,강남구,10.0,0.0,7.142857142857143,242,15468
구름다리주차장,노외 주차장,37.52782,126.83692,양천구 신월동 915-4,양천구,24.0,24.0,24.0,81,3941
구릉공영 주차장,노외 주차장,37.4955756,126.9195788,동작구 신대방동 351-14,동작구,24.0,24.0,24.0,67,2867
구릉주차장,노외 주차장,37.4955756,126.9195788,동작구 신대방동 351-14,동작구,15.0,15.0,15.0,67,2867
구산동 마을공원 지하 공동주차장,노외 주차장,37.6122812,126.9082658,은평구 구산동 340-1,은평구,24.0,24.0,24.0,90,3656
구산동 마을공원 지하공동주차장,노외 주차장,37.6122812,126.9082658,은평구 구산동 340-1,은평구,24.0,24.0,24.0,90,3656
구암길,노상 주차장,37.5498936,126.86025,강서구 등촌동 709-16,강서구,10.0,6.0,8.857142857142858,32,8009
구의1동 공영주차장,노외 주차장,37.54417,127.09262,광진구 구의동 243-78,광진구,24.0,24.0,24.0,84,2445
구의2동 주택가 공영주차장,노외 주차장,37.54417,127.09262,광진구 구의동 30-10,광진구,24.0,24.0,24.0,84,2445
구의3동 공영주차장,노외 주차장,37.54417,127.09262,광진구 구의동 219-15,광진구,24.0,24.0,24.0,84,2445
구청사주변,노상 주차장,37.66727,127.07242,노원구 상계동 739-2,노원구,11.0,24.0,14.714285714285714,97,3918
구청앞,노상 주차장,37.6352212,127.0090642,강북구 수유동 191-1,강북구,10.0,6.0,8.857142857142858,25,1856
구파발역 공영주차장,노외 주차장,37.638209,126.918987,은평구 진관동 70-1,은평구,24.0,24.0,24.0,207,3656
국도화학,노상 주차장,37.4753253,126.8863954,금천구 가산동 345-26,금천구,11.0,24.0,14.714285714285714,416,2257
국민은행앞 노상주차장,노상 주차장,37.5267088,126.9238,영등포구 여의도동 15-22,영등포구,10.0,6.0,8.857142857142858,262,4323
국민일보사옥앞,노상 주차장,37.5267088,126.9238,영등포구 여의도동 1-2,영등포구,10.0,6.0,8.857142857142858,262,4323
국민일보사옥앞 노상주차장,노상 주차장,37.5267088,126.9238,영등포구 여의도동 12-0,영등포구,10.0,6.0,8.857142857142858,262,4323
금남시장 공영주차장,노외 주차장,37.54998,127.02213,성동구 금호동3가 294-0,성동구,24.0,24.0,24.0,366,4331
기륭전자,노상 주차장,37.4753253,126.8863954,금천구 가산동 219-7,금천구,11.0,24.0,14.714285714285714,416,2257
길음역환승주차장,노외 주차장,37.60444,127.03764,성북구 하월곡동 104-112,성북구,24.0,24.0,24.0,181,3533
까치공원공영주차장,노외 주차장,37.58178,127.09034,중랑구 면목동 570-0,중랑구,24.0,24.0,24.0,105,3158
까치산 전통시장 고객주차장,노외 주차장,37.54208,126.84656,강서구 화곡동 342-16,강서구,10.0,10.0,10.0,13,8009
