주차장명,위도,경도,축3_자가소비적합성
청계6 공영주차장(시),37.56997040500001,127.012650815,0.36092112575205765
청계7가 공영주차장(시),37.57167001,127.01971298,0.18631301390456617
청계8가 공영주차장(시),37.570273685,127.02767654,0.1367023914005353
탑골공원 관광버스전용 주차장(시),37.57130525,126.98776441,0.5042892156862745
파미에(반포천) 주차장(시),37.504517,127.007933,0.5979503296793595
학여울 공영주차장(시),37.49705092,127.07239543,0.8259074973586356
한강진역 공영주차장(시),37.53952176,127.00257963,0.5809602514609775
해군본부앞 공영주차장(시),37.50434092,126.92099226,0.2208373381423757
훈련원공원 공영주차장(시),37.56740014,127.00352062,0.6347518996216843
훈련원공원 앞 관광버스 전용 주차장(시),37.56683225,127.003853,0.5363460659796202
