주차장명,주차장종류,주차장종류명,위도,경도,원본명칭_수,전체_행_수,평일운영시간,주말운영시간,ev_충전소_500m,총주차면_합산,주소,자치구,ev_등록대수,총주차면_norm,평일운영_norm,주말운영_norm,ev_충전소_역,ev_등록_norm,ev_충전소_역_norm,자체소비_점수,EV충전_점수,축3_자가소비적합성
동국제강 공영주차장(시),NW,노외 주차장,37.56733736,126.98343453,1,1,10.0,10.0,301,13.0,중구 삼각동 111-1,중구,2000,0.007697690692792161,0.06666666666666665,0.2631578947368421,109,0.007662835249042127,0.26715686274509803,0.11250741736543364,0.1374098489970701,0.12495863318125186
동대문 공영주차장(시),NW,노외 주차장,37.56710187,127.01214106,1,1,24.0,24.0,133,1092.0,중구 신당동 251-7,중구,2000,0.7627711686494052,1.0,1.0,277,0.007662835249042127,0.678921568627451,0.9209237228831352,0.34329220193824656,0.6321079624106909
동순라길(종묘) 관광버스전용 주차장(시),NS,노상 주차장,37.57278931,126.99677676,1,5,24.0,24.0,78,5.0,종로구 인의동 107-1,종로구,1896,0.002099370188943317,1.0,1.0,332,0.0,0.8137254901960784,0.6673664567296478,0.4068627450980392,0.5371146009138434
동작대교 공영주차장(시),NW,노외 주차장,37.518577,126.983287,1,1,14.0,14.0,45,88.0,용산구 용산동6가 69-11,용산구,2674,0.06018194541637509,0.33333333333333337,0.47368421052631576,365,0.05732390215148836,0.8946078431372549,0.2890664964253414,0.4759658726443716,0.3825161845348565
동작대교 공영주차장(시),NS,노상 주차장,37.50535472,126.9806183,1,47,14.0,14.0,14,88.0,용산구 용산동6가 69-11,용산구,2674,0.06018194541637509,0.33333333333333337,0.47368421052631576,396,0.05732390215148836,0.9705882352941176,0.2890664964253414,0.513956068722803,0.4015112825740722
동호대교(남) 공영주차장(시),NS,노상 주차장,37.53093729,127.024794275,1,18,10.0,10.0,17,18.0,강남구 압구정동 435-0,강남구,15468,0.01119664100769769,0.06666666666666665,0.2631578947368421,393,0.9999999999999999,0.9632352941176471,0.11367373413706881,0.9816176470588235,0.5476456905979461
마른내길 공영주차장(시),NS,노상 주차장,37.56433062,126.99457488,1,33,10.0,6.0,59,33.0,중구 인현동1가 87-10,중구,2000,0.021693491952414275,0.06666666666666665,0.05263157894736842,351,0.007662835249042127,0.8602941176470588,0.046997245855483115,0.43397847644805043,0.24048786115176676
마른내로 공영주차장(시),NS,노상 주차장,37.56452799,126.99985972,1,14,9.0,24.0,82,14.0,중구 오장동 69-3,중구,2000,0.00839748075577327,0.0,1.0,328,0.007662835249042127,0.803921568627451,0.3361324935852577,0.40579220193824656,0.37096234776175213
면목유수지 공영주차장(시),NW,노외 주차장,37.579494,127.081451,1,1,24.0,24.0,123,567.0,중랑구 면목동 168-2,중랑구,3158,0.3953813855843247,1.0,1.0,287,0.09298555850279988,0.7034313725490196,0.7984604618614416,0.3982084655259097,0.5983344636936756
명일동 공영주차장(시),NW,노외 주차장,37.55361065,127.15591212,1,1,11.0,6.0,220,11.0,강동구 명일동 47-9,강동구,5653,0.006298110566829951,0.1333333333333333,0.05263157894736842,190,0.2768199233716475,0.46568627450980393,0.06408767428251055,0.3712530989407257,0.21767038661161814
