pklt_nm,pklt_knd_nm,tpkct,add_crg_std,add_crg_std_filled,is_add_crg_imputed,lat,lot,addr
개운산,노외 주차장,11.0,300.0,300.0,False,37.59631,127.03333,성북구 종암동 54-182
개운산공영주차장,노외 주차장,26.0,,400.0,True,37.5887938,127.0300906,성북구 안암동5가 1-95
개포동공원 공영주차장,노외 주차장,145.0,400.0,400.0,False,37.48421,127.07006,강남구 개포동 183-2
개화산역 공영주차장,노외 주차장,320.0,580.0,580.0,False,37.57224302,126.80518976,강서구 방화동 845-0
개화역 공영주차장,노외 주차장,483.0,580.0,580.0,False,37.57798421,126.79821222,강서구 개화동 664-0
거여동(기계식),노외 주차장,123.0,100.0,100.0,False,37.48921,127.14667,송파구 거여동 33-16
건영백화점앞,노외 주차장,137.0,500.0,500.0,False,37.64802,127.07678,노원구 중계동 507-0
견인보관소,노외 주차장,40.0,500.0,500.0,False,37.58773,127.06526,동대문구 휘경동 361-0
견인보관소 노외,노외 주차장,55.0,300.0,300.0,False,37.4753253,126.8863954,금천구 가산동 614-34
경남 공영주차장,노상 주차장,1.0,500.0,500.0,False,37.5550711,126.9238244,마포구 서교동 376-5
경도상가앞 노상주차장,노상 주차장,1.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 44-0
경동고,노외 주차장,122.0,300.0,300.0,False,37.58635,127.01311,성북구 삼선동3가 43-1
경동고 공영주차장,노외 주차장,123.0,300.0,300.0,False,37.58635,127.01311,성북구 삼선동3가 43-1
경창시장 고객주차장,노외 주차장,32.0,,400.0,True,37.52782,126.83692,양천구 신월동 446-3
경호빌딩앞 노상주차장,노상 주차장,1.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 25-0
고분다리 전통시장 공영주차장,노외 주차장,26.0,300.0,300.0,False,37.54294,127.12733,강동구 천호동 280-9
고분다리전통시장 주차장,노외 주차장,26.0,300.0,300.0,False,37.54294,127.12733,강동구 천호동 280-9
고척1동마을공동주차장,노외 주차장,125.0,200.0,200.0,False,37.5032363,126.8588409,구로구 고척동 52-54
