주차장명,주차장종류,주차장종류명,위도,경도,원본명칭_수,전체_행_수,평일운영시간,주말운영시간,ev_충전소_500m,총주차면_합산,주소,자치구,ev_등록대수_x,ev_등록대수_y,ev_등록대수
마른내길 공영주차장(시),NS,노상 주차장,37.56433062,126.99457488,1,33,10.0,6.0,59,33.0,중구 인현동1가 87-10,중구,2000,2000,2000
마른내로 공영주차장(시),NS,노상 주차장,37.56452799,126.99985972,1,14,9.0,24.0,82,14.0,중구 오장동 69-3,중구,2000,2000,2000
면목유수지 공영주차장(시),NW,노외 주차장,37.579494,127.081451,1,1,24.0,24.0,123,567.0,중랑구 면목동 168-2,중랑구,3158,3158,3158
명일동 공영주차장(시),NW,노외 주차장,37.55361065,127.15591212,1,1,11.0,6.0,220,11.0,강동구 명일동 47-9,강동구,5653,5653,5653
목동체비지 공영주차장(시),NW,노외 주차장,37.53679354,126.8806468,1,1,13.0,13.0,124,55.0,양천구 목동 908-26,양천구,3941,3941,3941
문래1동 공영주차장(시),NS,노상 주차장,37.51355189,126.89703007,1,11,10.0,6.0,164,11.0,영등포구 문래동3가 54-12,영등포구,4323,4323,4323
방화로 공영주차장(시),NS,노상 주차장,37.55468529,126.81629744,1,59,9.0,24.0,97,65.0,강서구 공항동 796-0,강서구,8009,8009,8009
방화역 공영주차장(시),NW,노외 주차장,37.577437555,126.81274469,2,2,13.0,13.0,181,135.0,,강서구,8009,8009,8009
배오개길 공영주차장(시),NS,노상 주차장,37.56535114,126.998315985,1,10,10.0,6.0,60,10.0,중구 예관동 22-1,중구,2000,2000,2000
볕우물 공영주차장(시),NW,노외 주차장,37.55237413,127.13512275,1,1,24.0,24.0,170,97.0,강동구 암사동 473-3,강동구,5653,5653,5653
보라매상업 공영주차장(시),NW,노외 주차장,37.49039184,126.92340595,1,1,12.0,12.0,153,64.0,동작구 신대방동 431-3,동작구,2867,2867,2867
복정역 공영주차장(시),NW,노외 주차장,37.47005293,127.1277329,1,1,24.0,24.0,38,362.0,송파구 장지동 600-2,송파구,7851,7851,7851
봉천복개3 공영주차장(시),NS,노상 주차장,37.48839206,126.93069135,1,59,10.0,6.0,22,59.0,관악구 봉천동 1467-3,관악구,3005,3005,3005
사당노외 공영주차장(시),NW,노외 주차장,37.47543791,126.98377372,1,1,24.0,24.0,104,183.0,서초구 방배동 507-1,서초구,8665,8665,8665
삼각지고가밑 공영주차장(시),NS,노상 주차장,37.53704625,126.96954765,1,16,10.0,6.0,350,16.0,용산구 문배동 12-1,용산구,2674,2674,2674
서울글로벌센터 공영주차장(시),NW,노외 주차장,37.56983402,126.98150586,1,1,9.0,24.0,294,44.0,종로구 서린동 63-0,종로구,1896,1896,1896
석계역 공영주차장(시),NW,노외 주차장,37.615292,127.062997,1,1,24.0,24.0,120,70.0,노원구 월계동 50-9,노원구,3918,3918,3918
성내역(잠실나루역) 공영주차장(시),NS,노상 주차장,37.517732385,127.105057265,1,28,9.0,6.0,336,32.0,송파구 신천동 11-1,송파구,7851,7851,7851
세종로 공영주차장(시),NW,노외 주차장,37.57340269,126.97588429,1,1,24.0,24.0,280,1260.0,종로구 세종로 80-1,종로구,1896,1896,1896
소파로케이블카앞 관광버스전용 주차장(시),NS,노상 주차장,37.55516503,126.983716475,1,2,24.0,24.0,77,3.0,중구 회현동1가 1-15,중구,2000,2000,2000
수서역북 공영주차장(시),NW,노외 주차장,37.48801285,127.09994995,1,1,24.0,24.0,87,575.0,강남구 수서동 735-0,강남구,15468,15468,15468
신대방역 공영주차장(시),NW,노외 주차장,37.48830327,126.91452278,1,1,24.0,24.0,49,60.0,관악구 신림동 498-0,관악구,3005,3005,3005
신방화역 공영주차장(시),NW,노외 주차장,37.56706812,126.81757628,1,1,24.0,24.0,213,199.0,강서구 마곡동 739-0,강서구,8009,8009,8009
신설동 공영주차장(시),NW,노외 주차장,37.57252061,127.02425684,1,1,10.0,10.0,152,71.0,동대문구 신설동 114-29,동대문구,3021,3021,3021
신월4동 공영주차장(시),NW,노외 주차장,37.525643,126.837692,1,1,24.0,24.0,96,46.0,양천구 신월동 411-1,양천구,3941,3941,3941
신천유수지 공영주차장(시),NW,노외 주차장,37.52231457,127.10290327,1,1,24.0,24.0,69,192.0,송파구 신천동 14-0,송파구,7851,7851,7851
압구정고가1 공영주차장(시),NS,노상 주차장,37.52607658,127.028388,1,19,13.0,12.0,58,19.0,강남구 신사동 668-0,강남구,15468,15468,15468
여의도공원 공영주차장(시),NS,노상 주차장,37.5226,126.91685,1,48,10.0,6.0,70,49.0,영등포구 여의도동 2-11,영등포구,4323,4323,4323
영남 공영주차장(시),NW,노외 주차장,37.51947074,126.90260898,1,1,24.0,24.0,174,570.0,영등포구 영등포동4가 123-0,영등포구,4323,4323,4323
영동6교밑 공영주차장(시),NS,노상 주차장,37.494468795,127.071070055,1,38,10.0,8.0,47,38.0,강남구 대치동 512-1,강남구,15468,15468,15468
