연도,자치구명,행정동명,행정동코드,월,전력사용량,평균생활인구,전력효율지표
2023,종로구,청운효자동,11110515,1,4225.082,16648.452198924733,0.25378227053881225
2023,종로구,청운효자동,11110515,2,3887.327,17246.679425892857,0.2253956778580729
2023,종로구,청운효자동,11110515,3,3056.376,18490.636365994622,0.16529317539448546
2023,종로구,청운효자동,11110515,4,2848.263,18586.757700416667,0.15324151989866147
2023,종로구,청운효자동,11110515,5,2624.542,18551.474625,0.14147349755491473
2023,종로구,청운효자동,11110515,6,2891.552,17800.88521611111,0.16243866329652712
2023,종로구,청운효자동,11110515,7,3405.131,16290.124041129031,0.2090303911377705
2023,종로구,청운효자동,11110515,8,4030.694,16296.311331586021,0.24733781271026545
2023,종로구,청운효자동,11110515,9,3771.483,17845.275959305556,0.2113434955335242
2023,종로구,청운효자동,11110515,10,2752.241,18327.989951747313,0.15016600332310925
2023,종로구,청운효자동,11110515,11,2854.197,17302.361216527777,0.164959970739345
2023,종로구,청운효자동,11110515,12,3525.026,16632.941605645163,0.21193040194427293
2024,종로구,청운효자동,11110515,1,3994.913,15537.559064247313,0.2571132945323755
2024,종로구,청운효자동,11110515,2,3746.081,16113.444675431036,0.23248169931733062
2024,종로구,청운효자동,11110515,3,3201.899,17433.05382325269,0.18366827937680194
2024,종로구,청운효자동,11110515,4,2947.767,17775.362995694442,0.16583441928662776
2024,종로구,청운효자동,11110515,5,2609.327,17685.65220685484,0.1475392012395586
2024,종로구,청운효자동,11110515,6,2959.189,16855.090506805554,0.17556648531819943
2024,종로구,청운효자동,11110515,7,3461.713,15968.572914381719,0.21678286585536333
2024,종로구,청운효자동,11110515,8,4317.63,15330.301593951614,0.2816402517288681
2024,종로구,청운효자동,11110515,9,4233.126,16154.63260638889,0.2620378997864593
2024,종로구,청운효자동,11110515,10,3074.454,17069.667477284947,0.18011212017406059
2024,종로구,청운효자동,11110515,11,2843.679,16684.48261111111,0.1704385485772414
2024,종로구,청운효자동,11110515,12,3492.608,15461.717402688173,0.2258874553866038
2023,종로구,사직동,11110530,1,20072.814,23237.597015725805,0.8638076469961987
2023,종로구,사직동,11110530,2,19025.417,25371.397793005952,0.7498765797304504
2023,종로구,사직동,11110530,3,15920.326,25468.54478844086,0.6250975912540393
2023,종로구,사직동,11110530,4,15228.587,25230.178359027777,0.6035861809336341
2023,종로구,사직동,11110530,5,15913.038,25193.471073387096,0.6316334082606664
2023,종로구,사직동,11110530,6,18541.607,24884.239880138888,0.7451144615752882
2023,종로구,사직동,11110530,7,21769.546,24451.142469489245,0.8903283773821444
2023,종로구,사직동,11110530,8,23792.189,24702.538972446233,0.9631475139676265
2023,종로구,사직동,11110530,9,21202.756,24635.394204444445,0.860662339073707
2023,종로구,사직동,11110530,10,15604.895,25308.006033870966,0.616599149657037
2023,종로구,사직동,11110530,11,15760.606,26081.883544166667,0.6042740729714259
2023,종로구,사직동,11110530,12,17927.281,26255.99631142473,0.6827880681945149
2024,종로구,사직동,11110530,1,19920.963,25131.786355107528,0.7926600488528929
2024,종로구,사직동,11110530,2,18107.699,23981.37284683908,0.7550734945679612
2024,종로구,사직동,11110530,3,16351.764,25006.396864112903,0.6539032427925148
2024,종로구,사직동,11110530,4,15448.373,25456.54438875,0.6068527119818781
2024,종로구,사직동,11110530,5,15486.252,24876.538125672043,0.62252440117536
2024,종로구,사직동,11110530,6,18480.38,24123.71442708333,0.7660669361618855
2024,종로구,사직동,11110530,7,21876.318,24642.655027150537,0.8877419245571279
2024,종로구,사직동,11110530,8,24754.502,23491.846496639784,1.0537486699285568
2024,종로구,사직동,11110530,9,22548.422,23107.422936805557,0.9758085988933374
2024,종로구,사직동,11110530,10,18921.901,25482.413033198925,0.7425474571559697
2024,종로구,사직동,11110530,11,17393.287,25388.358589583335,0.685089070986115
2024,종로구,사직동,11110530,12,20121.241,25746.36247862903,0.7815178170004324
2023,종로구,삼청동,11110540,1,3744.579,5381.900155107527,0.6957726624575751
2023,종로구,삼청동,11110540,2,3459.692,5813.60146235119,0.5951030565828982
2023,종로구,삼청동,11110540,3,2583.23,5994.128246505376,0.43096008189448454
2023,종로구,삼청동,11110540,4,2291.793,6277.495845833333,0.3650807672809804
2023,종로구,삼청동,11110540,5,2213.147,6172.806072311828,0.35853175591034503
2023,종로구,삼청동,11110540,6,2790.481,6016.885089583333,0.46377501954142186
2023,종로구,삼청동,11110540,7,3408.123,5714.959135887097,0.5963512457330946
2023,종로구,삼청동,11110540,8,3889.075,5645.294924327957,0.6889055491574647
2023,종로구,삼청동,11110540,9,3508.191,5967.268263333333,0.5879056957362788
2023,종로구,삼청동,11110540,10,2485.646,6084.941764784947,0.4084913374824792
2023,종로구,삼청동,11110540,11,2496.084,5878.2650815277775,0.42462937029564185
2023,종로구,삼청동,11110540,12,3141.94,5556.604262903225,0.5654424629401974
2024,종로구,삼청동,11110540,1,3632.461,5244.637711962366,0.6926047516523035
2024,종로구,삼청동,11110540,2,3364.549,5356.937616091955,0.6280732091956932
2024,종로구,삼청동,11110540,3,2821.399,5847.836570026881,0.4824688525772242
2024,종로구,삼청동,11110540,4,2441.797,6350.551830555555,0.38450154650361906
2024,종로구,삼청동,11110540,5,2292.514,6881.24225672043,0.33315408969377025
2024,종로구,삼청동,11110540,6,2875.016,6613.185478333334,0.43473996146325633
2024,종로구,삼청동,11110540,7,3485.568,6284.186432123656,0.5546570009734895
2024,종로구,삼청동,11110540,8,4164.951,5798.955022446236,0.7182244014444956
2024,종로구,삼청동,11110540,9,3873.87,5917.306391805555,0.6546678071908933
2024,종로구,삼청동,11110540,10,2796.77,6386.932841129033,0.43788937030776864
2024,종로구,삼청동,11110540,11,2521.069,6244.8825658333335,0.40370158660679023
2024,종로구,삼청동,11110540,12,3204.537,5708.015737903225,0.5614099797799699
2023,종로구,부암동,11110550,1,3696.148,13065.309700806452,0.2828978481674917
2023,종로구,부암동,11110550,2,3436.055,13118.453431101192,0.26192531139789776
2023,종로구,부암동,11110550,3,2661.164,14177.413913575268,0.1877044724956405
2023,종로구,부암동,11110550,4,2481.741,13965.940413333334,0.17769952660192312
2023,종로구,부암동,11110550,5,2213.747,14165.484591263441,0.15627753401146105
2023,종로구,부암동,11110550,6,2388.109,14149.97487861111,0.1687712536938726
2023,종로구,부암동,11110550,7,2675.012,13395.60878266129,0.1996932012125065
2023,종로구,부암동,11110550,8,3161.458,13421.854474462367,0.23554554298105942
2023,종로구,부암동,11110550,9,3005.085,14416.961284722222,0.2084409426266903
2023,종로구,부암동,11110550,10,2339.752,14174.375957526883,0.1650691365186729
2023,종로구,부암동,11110550,11,2437.725,14410.236521249999,0.16916620323373724
2023,종로구,부암동,11110550,12,3022.794,13767.854327150539,0.21955447291732144
2024,종로구,부암동,11110550,1,3467.792,12256.11000766129,0.2829439355417245
2024,종로구,부암동,11110550,2,3245.55,12606.6555875,0.25744734418048926
2024,종로구,부암동,11110550,3,2800.408,13678.854351612901,0.20472533210866437
2024,종로구,부암동,11110550,4,2531.825,13307.851600833334,0.1902504683657171
2024,종로구,부암동,11110550,5,2182.923,13303.82957325269,0.16408230336840454
2024,종로구,부암동,11110550,6,2351.883,12885.34007236111,0.18252393703172481
2024,종로구,부암동,11110550,7,2642.213,12247.603255376345,0.21573306588292243
2024,종로구,부암동,11110550,8,3292.869,12390.993447580646,0.2657469729065942
2024,종로구,부암동,11110550,9,3338.176,12904.222925416667,0.2586886493897278
2024,종로구,부암동,11110550,10,2501.344,12894.24587688172,0.1939891657010121
2024,종로구,부암동,11110550,11,2403.688,13036.816013888889,0.18437692128501387
2024,종로구,부암동,11110550,12,2908.874,12351.804978225806,0.23550193717662032
2023,종로구,평창동,11110560,1,7231.587,17866.125551478493,0.4047652625726431
2023,종로구,평창동,11110560,2,6746.588,17754.354608333335,0.379996240293261
2023,종로구,평창동,11110560,3,5045.404,17815.873594354838,0.2831971148245402
2023,종로구,평창동,11110560,4,4536.525,17941.03202916667,0.2528575275170898
2023,종로구,평창동,11110560,5,4077.923,17887.78399422043,0.22797250913347247
2023,종로구,평창동,11110560,6,4117.435,17422.72124986111,0.23632559695764077
2023,종로구,평창동,11110560,7,4900.27,17538.69953521505,0.27939756822682327
2023,종로구,평창동,11110560,8,5877.613,17363.324808333335,0.33850734608034894
2023,종로구,평창동,11110560,9,5269.457,17605.34230902778,0.29931011323181683
2023,종로구,평창동,11110560,10,4128.436,17494.976655107526,0.23597836575533435
2023,종로구,평창동,11110560,11,4493.595,17679.072553055554,0.25417594653308623
2023,종로구,평창동,11110560,12,5729.92,17852.329378629034,0.32096203685661706
2024,종로구,평창동,11110560,1,6806.502,17271.80440672043,0.39408169752962247
2024,종로구,평창동,11110560,2,6322.844,17371.05433979885,0.3639873479362575
2024,종로구,평창동,11110560,3,5427.434,17598.010651344084,0.30841179196498947
2024,종로구,평창동,11110560,4,4645.991,17711.459167222223,0.2623155413755023
2024,종로구,평창동,11110560,5,3953.321,17571.651884005376,0.22498288869463187
2024,종로구,평창동,11110560,6,4190.896,17418.652129166665,0.24059817998101893
2024,종로구,평창동,11110560,7,4877.847,16841.32440672043,0.28963559410170403
2024,종로구,평창동,11110560,8,6401.438,17316.446718817202,0.3696738773228674
2024,종로구,평창동,11110560,9,5996.006,17313.402585277778,0.34632164131033516
2024,종로구,평창동,11110560,10,4453.885,17298.616289919355,0.2574705933326858
2024,종로구,평창동,11110560,11,4414.814,17342.05898375,0.25457265507727805
2024,종로구,평창동,11110560,12,5692.282,17190.987472580644,0.3311201296073946
2023,종로구,무악동,11110570,1,1929.57,6612.716226344086,0.29179688556918226
2023,종로구,무악동,11110570,2,1786.476,6726.9701177083325,0.2655691892100446
2023,종로구,무악동,11110570,3,1565.812,6693.1647151881725,0.23394194923170636
2023,종로구,무악동,11110570,4,1564.732,6637.486326944444,0.23574165322918592
2023,종로구,무악동,11110570,5,1571.618,6511.122904569892,0.24137434095998178
2023,종로구,무악동,11110570,6,1748.153,6631.38937375,0.26361790892870357
2023,종로구,무악동,11110570,7,2185.499,6545.881906586022,0.33387388150114644
2023,종로구,무악동,11110570,8,2474.396,6504.029851209678,0.3804404433260388
2023,종로구,무악동,11110570,9,2043.753,6514.686235555555,0.31371472486974106
2023,종로구,무악동,11110570,10,1562.421,6495.619953897849,0.24053454652352818
2023,종로구,무악동,11110570,11,1588.213,6454.997931944445,0.2460439208106115
2023,종로구,무악동,11110570,12,1726.812,6376.846634946237,0.27079403016167386
2024,종로구,무악동,11110570,1,1867.625,6308.039513037634,0.2960705931121611
2024,종로구,무악동,11110570,2,1748.375,6214.729063074712,0.28132763025633795
2024,종로구,무악동,11110570,3,1623.198,6176.695237903226,0.26279392741271457
2024,종로구,무악동,11110570,4,1558.583,6054.935323333333,0.2574070434730881
2024,종로구,무악동,11110570,5,1550.756,5838.94276344086,0.26558849141486485
2024,종로구,무악동,11110570,6,1754.413,5878.452771527778,0.2984480896907908
2024,종로구,무악동,11110570,7,2196.733,5993.299428360215,0.36653149509018157
2024,종로구,무악동,11110570,8,2706.362,6058.874494758064,0.44667734945515936
2024,종로구,무악동,11110570,9,2307.981,6038.787298888889,0.38219279563376224
2024,종로구,무악동,11110570,10,1706.397,6171.93360954301,0.2764768884359965
2024,종로구,무악동,11110570,11,1621.654,5803.570345,0.2794235106320573
2024,종로구,무악동,11110570,12,1811.352,5328.396348521505,0.3399431801845229
2023,종로구,교남동,11110580,1,4720.711,7312.873959005376,0.6455343038131707
2023,종로구,교남동,11110580,2,4176.877,7725.463827529761,0.5406635890411733
2023,종로구,교남동,11110580,3,3889.659,7672.724956586022,0.5069462312292637
2023,종로구,교남동,11110580,4,3604.467,7561.7470158333335,0.47667119680844994
