연도,자치구명,행정동명,행정동코드,월,전력사용량,평균생활인구,log_전력,log_인구
2023,종로구,청운효자동,11110515,1,4225.082,16648.452198924733,8.348793947886959,9.720072530061904
2023,종로구,청운효자동,11110515,12,3525.026,16632.941605645163,8.167643091105692,9.71914044203136
2023,종로구,사직동,11110530,1,20072.814,23237.597015725805,9.907121641229546,10.053526806984978
2023,종로구,사직동,11110530,12,17927.281,26255.99631142473,9.794078909812642,10.17564967284482
2023,종로구,삼청동,11110540,1,3744.579,5381.900155107527,8.228064473076698,8.590796779481087
2023,종로구,삼청동,11110540,12,3141.94,5556.604262903225,8.052595722516111,8.622742456582335
2023,종로구,부암동,11110550,1,3696.148,13065.309700806452,8.215046475249906,9.477715882289642
2023,종로구,부암동,11110550,12,3022.794,13767.854327150539,8.013936848229946,9.530091757297235
2023,종로구,평창동,11110560,1,7231.587,17866.125551478493,8.886213793140444,9.7906617716343
2023,종로구,평창동,11110560,12,5729.92,17852.329378629034,8.653456848005737,9.789889276095927
2023,종로구,무악동,11110570,1,1929.57,6612.716226344086,7.565052459148324,8.79674977526809
2023,종로구,무악동,11110570,12,1726.812,6376.846634946237,7.454032212927503,8.760428996307747
2023,종로구,교남동,11110580,1,4720.711,7312.873959005376,8.45971470282842,8.897391629925565
2023,종로구,교남동,11110580,12,4468.145,7966.745977150538,8.404728612661609,8.9830314044928
2023,종로구,가회동,11110600,1,4839.165,6426.360682392473,8.48449746416612,8.768163666702034
2023,종로구,가회동,11110600,12,4178.384,6208.141491129032,8.337679847897832,8.733616853344472
2023,종로구,종로1.2.3.4가동,11110615,1,47737.627,59163.51599233871,10.773475191912532,10.98806034697791
2023,종로구,종로1.2.3.4가동,11110615,12,41748.446,64287.08510752688,10.639417508029377,11.0711140363587
2023,종로구,종로5.6가동,11110630,1,10927.781,15974.736068145161,9.29906354134622,9.678763757553394
2023,종로구,종로5.6가동,11110630,12,9573.033,16136.851454569893,9.166705362135648,9.68886084562972
