연도,자치구명,행정동명,행정동코드,월,전력사용량,시간대구분,시간대비율,추정전력
2023,종로구,청운효자동,11110515,1,4225.082,0,0.03822600699033823,161.50801406675222
2023,종로구,청운효자동,11110515,1,4225.082,1,0.038543979169397474,162.85147259699625
2023,종로구,청운효자동,11110515,1,4225.082,2,0.03869494536520912,163.4893171535285
2023,종로구,청운효자동,11110515,1,4225.082,3,0.03873743909557256,163.66885664879993
2023,종로구,청운효자동,11110515,1,4225.082,4,0.03880256941151165,163.9440375743285
2023,종로구,청운효자동,11110515,1,4225.082,5,0.03876521393367709,163.78620761732827
2023,종로구,청운효자동,11110515,1,4225.082,6,0.03955306409511944,167.11493915313545
2023,종로구,청운효자동,11110515,1,4225.082,7,0.040621318491718135,171.62840157562545
2023,종로구,청운효자동,11110515,1,4225.082,8,0.04183260702834124,176.74619496851807
2023,종로구,청운효자동,11110515,1,4225.082,9,0.04333705996303717,183.10263198274902
2023,종로구,청운효자동,11110515,1,4225.082,10,0.0453433516235081,191.57937876415488
2023,종로구,청운효자동,11110515,1,4225.082,11,0.047364966627145615,200.12086792695365
2023,종로구,청운효자동,11110515,1,4225.082,12,0.048333133568780474,204.21145264505017
2023,종로구,청운효자동,11110515,1,4225.082,13,0.04909593210209849,207.4343389977985
2023,종로구,청운효자동,11110515,1,4225.082,14,0.049427827892989745,208.83662592976893
2023,종로구,청운효자동,11110515,1,4225.082,15,0.04810783269949423,203.2595379976445
2023,종로구,청운효자동,11110515,1,4225.082,16,0.04491028666322379,189.7496437956269
2023,종로구,청운효자동,11110515,1,4225.082,17,0.04182138373049939,176.69877561482582
2023,종로구,청운효자동,11110515,1,4225.082,18,0.03956869890771327,167.180997518399
2023,종로구,청운효자동,11110515,1,4225.082,19,0.03880669596968239,163.96147262097764
2023,종로구,청운효자동,11110515,1,4225.082,20,0.03774371075095476,159.47027290706546
2023,종로구,청운효자동,11110515,1,4225.082,21,0.03716413561792992,157.0215204448746
2023,종로구,청운효자동,11110515,1,4225.082,22,0.03709499609787904,156.729400303219
2023,종로구,청운효자동,11110515,1,4225.082,23,0.03810284420417862,160.98764119587943
2023,종로구,청운효자동,11110515,12,3525.026,0,0.03757306383707893,132.446026925363
2023,종로구,청운효자동,11110515,12,3525.026,1,0.03773756867289392,133.02591074873655
2023,종로구,청운효자동,11110515,12,3525.026,2,0.03774696400696746,133.05902954562447
2023,종로구,청운효자동,11110515,12,3525.026,3,0.03772435049845019,132.97931634014986
2023,종로구,청운효자동,11110515,12,3525.026,4,0.037754177910779854,133.08445874412465
2023,종로구,청운효자동,11110515,12,3525.026,5,0.0376397718936563,132.68117455920768
2023,종로구,청운효자동,11110515,12,3525.026,6,0.03814265218344129,134.4538406555873
2023,종로구,청운효자동,11110515,12,3525.026,7,0.0403347340384556,142.180986188641
2023,종로구,청운효자동,11110515,12,3525.026,8,0.043504992188396985,153.35622859389628
2023,종로구,청운효자동,11110515,12,3525.026,9,0.045631803225737275,160.85329279760776
2023,종로구,청운효자동,11110515,12,3525.026,10,0.04761657652661714,167.8496702873151
2023,종로구,청운효자동,11110515,12,3525.026,11,0.04888083739213961,172.30622270906431
2023,종로구,청운효자동,11110515,12,3525.026,12,0.04978958339623188,175.50957600088566
2023,종로구,청운효자동,11110515,12,3525.026,13,0.05021855453380256,177.02171041407192
2023,종로구,청운효자동,11110515,12,3525.026,14,0.05026131982759565,177.17245918659017
2023,종로구,청운효자동,11110515,12,3525.026,15,0.04868996174327495,171.63338108404952
2023,종로구,청운효자동,11110515,12,3525.026,16,0.04448790549610612,156.82102355931698
2023,종로구,청운효자동,11110515,12,3525.026,17,0.041420463516028634,146.00821082605233
2023,종로구,청운효자동,11110515,12,3525.026,18,0.03938931657145936,138.8483650366251
2023,종로구,청운효자동,11110515,12,3525.026,19,0.03834340987704675,135.1615167452466
2023,종로구,청운효자동,11110515,12,3525.026,20,0.037442491664131494,131.9857566208468
2023,종로구,청운효자동,11110515,12,3525.026,21,0.0362972870965606,127.94888074484061
2023,종로구,청운효자동,11110515,12,3525.026,22,0.03602814817037743,127.00015903243286
2023,종로구,청운효자동,11110515,12,3525.026,23,0.037344065732769986,131.63880265372325
2023,종로구,사직동,11110530,1,20072.814,0,0.022589183282694908,453.4284744454443
2023,종로구,사직동,11110530,1,20072.814,1,0.021962861321398297,440.8564302122222
2023,종로구,사직동,11110530,1,20072.814,2,0.02171426350569878,435.8663724968795
2023,종로구,사직동,11110530,1,20072.814,3,0.02158019192583716,433.17517861163105
2023,종로구,사직동,11110530,1,20072.814,4,0.02185497048446598,438.69075751017544
2023,종로구,사직동,11110530,1,20072.814,5,0.023025671485649005,462.1900209565361
2023,종로구,사직동,11110530,1,20072.814,6,0.025813307617299174,518.1457225268294
2023,종로구,사직동,11110530,1,20072.814,7,0.03188016161998868,639.9245544879715
2023,종로구,사직동,11110530,1,20072.814,8,0.045835863724924784,920.0547670797623
2023,종로구,사직동,11110530,1,20072.814,9,0.05247342124533346,1053.2892246012268
2023,종로구,사직동,11110530,1,20072.814,10,0.056163801703635455,1127.3655451299576
2023,종로구,사직동,11110530,1,20072.814,11,0.06080681241981883,1220.5638356359132
2023,종로구,사직동,11110530,1,20072.814,12,0.063152837006089,1267.6551507955412
2023,종로구,사직동,11110530,1,20072.814,13,0.0639623335888731,1283.9040251354022
2023,종로구,사직동,11110530,1,20072.814,14,0.06389165819982293,1282.4853711966202
2023,종로구,사직동,11110530,1,20072.814,15,0.06286444266852845,1261.866264899035
2023,종로구,사직동,11110530,1,20072.814,16,0.06089638828350094,1222.3618752864936
2023,종로구,사직동,11110530,1,20072.814,17,0.0586600668317441,1177.4726107411686
2023,종로구,사직동,11110530,1,20072.814,18,0.05200232690645593,1043.8330355604853
2023,종로구,사직동,11110530,1,20072.814,19,0.04422810320202094,887.7824891469706
2023,종로구,사직동,11110530,1,20072.814,20,0.03932900203279784,789.4437426099729
2023,종로구,사직동,11110530,1,20072.814,21,0.03371843713022515,676.823916885703
2023,종로구,사직동,11110530,1,20072.814,22,0.0281233789216625,564.5153541460519
2023,종로구,사직동,11110530,1,20072.814,23,0.023470514891534722,471.1192799020066
2023,종로구,사직동,11110530,12,17927.281,0,0.020459740735536257,366.78752135310515
2023,종로구,사직동,11110530,12,17927.281,1,0.01991582831527948,357.0366505557718
2023,종로구,사직동,11110530,12,17927.281,2,0.019642651572386562,352.1393343232657
2023,종로구,사직동,11110530,12,17927.281,3,0.019546916308663623,350.4230613488955
2023,종로구,사직동,11110530,12,17927.281,4,0.019876535171232522,356.3322313210685
2023,종로구,사직동,11110530,12,17927.281,5,0.021299612554126223,381.8441394489485
2023,종로구,사직동,11110530,12,17927.281,6,0.024312539398106948,435.85772561343407
2023,종로구,사직동,11110530,12,17927.281,7,0.03053223107578492,547.3598860525285
2023,종로구,사직동,11110530,12,17927.281,8,0.043990191055269356,788.6245162915002
2023,종로구,사직동,11110530,12,17927.281,9,0.05135489318433479,920.6536008405545
2023,종로구,사직동,11110530,12,17927.281,10,0.055625317247125806,997.2106930033707
2023,종로구,사직동,11110530,12,17927.281,11,0.06023166249628101,1079.789938667991
2023,종로구,사직동,11110530,12,17927.281,12,0.06227871448182434,1116.4880148344344
2023,종로구,사직동,11110530,12,17927.281,13,0.06308432003162714,1130.9303319009086
2023,종로구,사직동,11110530,12,17927.281,14,0.06283614077362046,1126.4811526042513
2023,종로구,사직동,11110530,12,17927.281,15,0.06209977340153321,1113.2800878056116
2023,종로구,사직동,11110530,12,17927.281,16,0.0612647366740555,1098.3101497467983
2023,종로구,사직동,11110530,12,17927.281,17,0.06194207746307465,1110.4530284043065
2023,종로구,사직동,11110530,12,17927.281,18,0.057545203519344175,1031.629033693472
2023,종로구,사직동,11110530,12,17927.281,19,0.050295456733587464,901.6607858863646
2023,종로구,사직동,11110530,12,17927.281,20,0.044098455515308305,790.5654036889317
