행정동코드,자치구명,행정동명,평균전력사용량,평균생활인구,평균전력효율지표,지역분류
11110515,종로구,청운효자동,3355.8874166666665,17073.01289725674,0.19895091032863613,잉여가능
11110530,종로구,사직동,18944.196249999997,25075.957969336872,0.7581660769610279,수요집중
11110540,종로구,삼청동,3025.5508055555556,5881.043861368035,0.5213817883366836,수요집중
11110550,종로구,부암동,2795.78925,13406.969342976661,0.21052980713413985,잉여가능
11110560,종로구,평창동,5216.816472222223,17590.3355615724,0.29692190904039745,중간
11110570,종로구,무악동,1836.9623333333334,6250.459267477312,0.2958202744279354,중간
11110580,종로구,교남동,4662.337083333334,7857.9699185856625,0.5937481432638859,수요집중
11110600,종로구,가회동,4078.31025,6663.714239496845,0.6194505735004197,수요집중
11110615,종로구,종로1.2.3.4가동,41834.82427777778,62958.73512971378,0.6670942329823865,수요집중
11110630,종로구,종로5.6가동,9064.201277777778,15997.092200341984,0.5734501252496415,수요집중
11110640,종로구,이화동,19041.122361111113,25465.280347758944,0.753624128951289,수요집중
11110650,종로구,혜화동,7710.441138888888,31529.855514906954,0.24857739409158702,잉여가능
11110670,종로구,창신제1동,3500.51925,7942.308261793467,0.44413161812620217,수요집중
11110680,종로구,창신제2동,2532.698111111111,8607.425240548451,0.295937239226584,중간
11110690,종로구,창신제3동,1276.7173611111111,4991.809431222623,0.25618721787076937,중간
11110700,종로구,숭인제1동,1805.8435277777778,7486.486740723867,0.24247795147609466,잉여가능
11110710,종로구,숭인제2동,4635.831111111111,12588.053913442911,0.36939130710095497,수요집중
11140520,중구,소공동,27776.075166666666,28941.153113091514,0.9637457448374322,수요집중
11140540,중구,회현동,23911.83575,26926.38787459321,0.8930532754732319,수요집중
11140550,중구,명동,39287.695944444444,38395.57924370261,1.0265771565517758,수요집중
11140570,중구,필동,11077.810222222222,13600.730810098516,0.8333305969463284,수요집중
11140580,중구,장충동,8042.071472222222,12040.84814942166,0.6730518687788198,수요집중
11140590,중구,광희동,20069.16513888889,24290.338924682044,0.830723492900098,수요집중
11140605,중구,을지로동,13337.964249999999,17223.56876621609,0.7797893133874134,수요집중
11140615,중구,신당동,11118.821888888888,21670.792646220656,0.5166736176974649,수요집중
11140625,중구,다산동,4351.426305555556,15114.153550356868,0.2886938890588364,중간
11140635,중구,약수동,3790.026638888889,13677.985476407079,0.2775594349315144,중간
11140645,중구,청구동,3048.514722222222,10860.384880416135,0.28121372348018586,중간
11140650,중구,신당제5동,3601.9974722222223,7590.713389642965,0.47916852382569797,수요집중
11140665,중구,동화동,3389.1019444444446,11386.777357950756,0.30129443674108525,중간
11140670,중구,황학동,6441.500666666667,12875.356347818037,0.5014062289167168,수요집중
11140680,중구,중림동,5383.473722222222,8514.827660977187,0.6352948734672518,수요집중
11170510,용산구,후암동,3286.3827222222226,12845.630728902142,0.2562718955918288,중간
11170520,용산구,용산2가동,2612.6885555555555,12101.981951849075,0.21662555053129628,잉여가능
11170530,용산구,남영동,7392.000361111111,16700.489385659443,0.4435355139622994,수요집중
11170555,용산구,청파동,7163.3189999999995,22806.53225566799,0.3160438025616196,중간
11170560,용산구,원효로제1동,6442.5394166666665,19904.611099261252,0.32517358275775066,수요집중
11170570,용산구,원효로제2동,17575.588555555554,15336.841365363893,1.1589785240649892,수요집중
