연도,자치구명,행정동명,행정동코드,월,전력사용량
2021,종로구,사직동,11110530,4,14814.431
2021,종로구,사직동,11110530,5,14760.677
2021,종로구,사직동,11110530,6,17847.675
2021,종로구,사직동,11110530,7,21272.577
2021,종로구,사직동,11110530,8,23066.311
2021,종로구,사직동,11110530,9,19026.853
2021,종로구,사직동,11110530,10,15902.112
2021,종로구,사직동,11110530,11,15429.255
2021,종로구,사직동,11110530,12,17513.959
2022,종로구,사직동,11110530,1,20176.843
2022,종로구,사직동,11110530,2,18909.905
2022,종로구,사직동,11110530,3,16171.635
2022,종로구,사직동,11110530,4,15411.652
2022,종로구,사직동,11110530,5,15723.616
2022,종로구,사직동,11110530,6,18192.044
2022,종로구,사직동,11110530,7,22150.916
2022,종로구,사직동,11110530,8,23308.238
2022,종로구,사직동,11110530,9,19386.386
2022,종로구,사직동,11110530,10,15830.533
2022,종로구,사직동,11110530,11,15293.824
2022,종로구,사직동,11110530,12,18548.649
2023,종로구,사직동,11110530,1,20072.814
2023,종로구,사직동,11110530,2,19025.417
2023,종로구,사직동,11110530,3,15920.326
2023,종로구,사직동,11110530,4,15228.587
2023,종로구,사직동,11110530,5,15913.038
2023,종로구,사직동,11110530,6,18541.607
2023,종로구,사직동,11110530,7,21769.546
2023,종로구,사직동,11110530,8,23792.189
2023,종로구,사직동,11110530,9,21202.756
2023,종로구,사직동,11110530,10,15604.895
2023,종로구,사직동,11110530,11,15760.606
2023,종로구,사직동,11110530,12,17927.281
2024,종로구,사직동,11110530,1,19920.963
2024,종로구,사직동,11110530,2,18107.699
2024,종로구,사직동,11110530,3,16351.764
2024,종로구,사직동,11110530,4,15448.373
2024,종로구,사직동,11110530,5,15486.252
2024,종로구,사직동,11110530,6,18480.38
2024,종로구,사직동,11110530,7,21876.318
2024,종로구,사직동,11110530,8,24754.502
2024,종로구,사직동,11110530,9,22548.422
2024,종로구,사직동,11110530,10,18921.901
2024,종로구,사직동,11110530,11,17393.287
2024,종로구,사직동,11110530,12,20121.241
