행정동코드,자치구명,행정동명,평균전력사용량,평균생활인구,평균전력효율지표,지역분류
11110515,종로구,청운효자동,3364.7625000000003,17003.72614651555,0.19981230835455213,잉여가능
11110530,종로구,사직동,18757.090166666665,24885.65841729753,0.7566854068354485,수요집중
11110540,종로구,삼청동,3061.9367500000003,5964.117531641186,0.519460065100089,수요집중
11110550,종로구,부암동,2799.4306250000004,13337.241498627312,0.2111981449498704,잉여가능
11110560,종로구,평창동,5222.417208333333,17519.462720921092,0.2981923985923734,중간
11110570,종로구,무악동,1841.7034999999998,6273.815349001415,0.2945968528797159,중간
11110580,종로구,교남동,4724.413291666667,7903.526235812467,0.5970122802315819,수요집중
11110600,종로구,가회동,4095.5906250000003,6552.885555569353,0.6299181148254641,수요집중
11110615,종로구,종로1.2.3.4가동,41986.129,63159.98700261638,0.6672942812120083,수요집중
11110630,종로구,종로5.6가동,9123.746291666666,16171.155995319896,0.5689939476157847,수요집중
11110640,종로구,이화동,19116.05275,25448.001767482987,0.7552231192862174,수요집중
11110650,종로구,혜화동,7784.465333333334,31699.97619224281,0.24994793173868277,잉여가능
11110670,종로구,창신제1동,3468.1686666666665,7879.274390202282,0.44340511854615317,수요집중
11110680,종로구,창신제2동,2519.4286666666667,8463.768027351347,0.2989210125043593,중간
11110690,종로구,창신제3동,1293.445625,5048.080630879168,0.25686592673781544,중간
11110700,종로구,숭인제1동,1808.3736250000002,7282.183783015217,0.24923439972284347,잉여가능
11110710,종로구,숭인제2동,4620.711666666667,12518.16708161286,0.37049139556404426,수요집중
11140520,중구,소공동,27877.92404166667,29073.088427739538,0.9621138113164776,수요집중
11140540,중구,회현동,23780.625125000002,27172.906341241996,0.8791989254821306,수요집중
11140550,중구,명동,39655.90975,38578.53796947192,1.031715399551551,수요집중
11140570,중구,필동,11038.934083333334,13669.325828366753,0.8261539744446131,수요집중
11140580,중구,장충동,8064.78575,12082.255857640965,0.672692540462684,수요집중
11140590,중구,광희동,20150.26304166667,24582.722835813533,0.8244068435291263,수요집중
11140605,중구,을지로동,13359.636791666666,17242.053354120388,0.7795684299002906,수요집중
11140615,중구,신당동,11116.801791666667,21636.51464869561,0.5173257225408132,수요집중
11140625,중구,다산동,4385.928958333333,15102.105430487552,0.29114507230571424,중간
11140635,중구,약수동,3795.6941666666667,13583.39442208319,0.27975138558478385,중간
